标的,投资周期,价格变动率,收益率,交易费用,最大回撤,平均回撤
创业板ETF,30 days,-0.12092130518234168,-0.07782389999999995,638.5600000000001,0.23902305000000013,-0.11232746528461979
创业板ETF,90 days,-0.12092130518234168,-0.07875222222222222,215.44999999999996,0.24164214814814822,-0.11051130572279999
创业板ETF,180 days,-0.12092130518234168,-0.09819057142857135,111.04000000000002,0.25734500000000005,-0.09278591086089616
创业板ETF,365 days,-0.12092130518234168,-0.08416228571428575,55.78,0.2460997142857142,-0.11298260004691518
创业板ETF,3000 days,-0.12092130518234168,0.028905999999999876,12.27,0.35124,-0.17386184783798564
中小100ETF,1 days,-0.0966898954703832,-0.10104426728110605,12294.72999999998,0.1851249551738584,-0.03081445241318992
中小100ETF,3 days,-0.0966898954703832,-0.1549481507537689,6221.840000000008,0.28382533919597985,-0.04626530099485393
中小100ETF,7 days,-0.0966898954703832,-0.15385331378299116,2666.1,0.28314226979472146,-0.047374788888389974
中小100ETF,15 days,-0.0966898954703832,-0.15523058749999996,1250.47,0.2834927625,-0.04624097590262588
中小100ETF,30 days,-0.0966898954703832,-0.15773337499999995,624.75,0.28644785000000006,-0.045289246198030764
中小100ETF,90 days,-0.0966898954703832,-0.15971496296296295,210.62,0.28989007407407397,-0.04276305673069114
中小100ETF,180 days,-0.0966898954703832,-0.17786042857142859,108.72999999999999,0.3054554285714286,-0.026869337449202835
中小100ETF,365 days,-0.0966898954703832,-0.16180714285714282,54.550000000000004,0.2914874285714286,-0.0455143743357298
中小100ETF,3000 days,-0.0966898954703832,-0.15319400000000005,11.969999999999999,0.34788600000000003,-0.026155822757111702
医药ETF,1 days,0.19814241486068118,-0.13321710766652695,12172.879999999941,0.20382929451193954,-0.030099062953723
医药ETF,3 days,0.19814241486068118,-0.2016079447236181,6141.820000000015,0.30897648241206044,-0.04580219520934348
医药ETF,7 days,0.19814241486068118,-0.2013268211143695,2631.2299999999996,0.3090518651026394,-0.04664648124355586
医药ETF,15 days,0.19814241486068118,-0.19966833750000001,1235.0699999999993,0.3069544500000001,-0.04763714794633067
医药ETF,30 days,0.19814241486068118,-0.1995439750000001,617.5899999999998,0.30759365000000005,-0.04860188572015334
医药ETF,90 days,0.19814241486068118,-0.20180414814814818,208.26,0.311054962962963,-0.0482143431503792
医药ETF,180 days,0.19814241486068118,-0.1926554285714286,108.28000000000002,0.3031507142857143,-0.05387781528712243
医药ETF,365 days,0.19814241486068118,-0.18691257142857143,54.14,0.2977277142857143,-0.06290583727116261
医药ETF,3000 days,0.19814241486068118,0.04969000000000001,12.25,0.15156000000000003,-0.32823063526834595
证券ETF,1 days,-0.14655172413793105,-0.04634572015081695,12656.169999999884,0.09792773271889399,-0.01049113119248224
证券ETF,3 days,-0.14655172413793105,-0.06942211809045218,6368.330000000017,0.1472651080402011,-0.015959595166752827
证券ETF,7 days,-0.14655172413793105,-0.06913051026392958,2728.42,0.1471811085043988,-0.016486362863119775
证券ETF,15 days,-0.14655172413793105,-0.06912065,1280.12,0.14681168749999995,-0.01598192340672866
证券ETF,30 days,-0.14655172413793105,-0.07238977499999999,639.51,0.15015014999999998,-0.013603594638949668
证券ETF,90 days,-0.14655172413793105,-0.07455451851851858,215.66,0.15344799999999992,-0.010988471188913218
证券ETF,180 days,-0.14655172413793105,-0.10349771428571419,110.94000000000001,0.1798991428571428,0.004880318537042738
证券ETF,365 days,-0.14655172413793105,-0.09524514285714292,55.580000000000005,0.17229771428571428,-0.004883061112847642
证券ETF,3000 days,-0.14655172413793105,-0.21308800000000006,11.940000000000001,0.44351000000000007,0.12172811378555815
环保ETF,1 days,-0.04265873015873023,-0.03323273313782993,12718.069999999849,0.121289443653121,-0.1004272403540194
环保ETF,3 days,-0.04265873015873023,-0.050737449748743724,6400.250000000015,0.18382144723618088,-0.15110671036883194
环保ETF,7 days,-0.04265873015873023,-0.04890663929618777,2743.2200000000003,0.1824591612903227,-0.1527556244451178
环保ETF,15 days,-0.04265873015873023,-0.05056827499999994,1286.52,0.18325311249999998,-0.15075016860040868
环保ETF,30 days,-0.04265873015873023,-0.05295905000000001,642.8199999999999,0.1861837999999999,-0.14935958689433737
环保ETF,90 days,-0.04265873015873023,-0.053595407407407425,216.88,0.18789911111111113,-0.14860941212081902
环保ETF,180 days,-0.04265873015873023,-0.0801492857142857,111.65,0.21063457142857145,-0.12629969710616296
环保ETF,365 days,-0.04265873015873023,-0.060165142857142806,56.08,0.1931937142857143,-0.14956053073138187
环保ETF,3000 days,-0.04265873015873023,-0.05143399999999998,12.17,0.40610599999999997,-0.08893831873905444
恒生ETF,1 days,-0.11827079934747142,-0.1405203996648513,12161.769999999899,0.19568644072056995,0.033932999826283505
恒生ETF,3 days,-0.11827079934747142,-0.21207770603015075,6124.170000000026,0.2955575502512562,0.05115195316984267
恒生ETF,7 days,-0.11827079934747142,-0.21288073900293247,2622.9599999999996,0.29645455131964815,0.051220477178077095
恒生ETF,15 days,-0.11827079934747142,-0.21234253749999998,1230.8299999999997,0.29530691249999985,0.050754670445842476
恒生ETF,30 days,-0.11827079934747142,-0.21469324999999995,614.9999999999998,0.2976089999999999,0.051748697292122614
恒生ETF,90 days,-0.11827079934747142,-0.21705414814814816,207.41000000000003,0.29933725925925925,0.05327885651187303
