标的,投资周期,价格变动率,收益率,交易费用,最大回撤,平均回撤
创业板ETF,15 days,0.031531531531531654,0.06300102499999993,2607.5400000000004,0.19927035714285712,-0.17498544165185348
创业板ETF,30 days,0.031531531531531654,0.06693656250000002,2438.4500000000003,0.20440066666666679,-0.17635891442713714
创业板ETF,90 days,0.031531531531531654,0.053082868312757325,2352.03,0.20399342222222216,-0.1757322501500873
创业板ETF,180 days,0.031531531531531654,0.03453974603174603,2391.84,0.19668035185185184,-0.15323228702580582
创业板ETF,365 days,0.031531531531531654,0.02601368688845418,2406.0299999999997,0.17938017808219187,-0.17424758669440665
创业板ETF,3000 days,0.031531531531531654,0.1809767166666667,3406.85,0.23772677666666664,-0.22279972341540422
中小100ETF,1 days,-0.1571389867244648,-0.3837290029325513,3723.0299999999993,0.20631827838827832,-0.07672853764593168
中小100ETF,3 days,-0.1571389867244648,-0.07124115159128985,3001.270000000001,0.2001708937198068,-0.07798904616970437
中小100ETF,7 days,-0.1571389867244648,-0.06720909928780905,2382.7199999999993,0.20247084745762722,-0.08245082455744979
中小100ETF,15 days,-0.1571389867244648,-0.02925817916666662,2363.23,0.20180369047619062,-0.0802347956254561
中小100ETF,30 days,-0.1571389867244648,-0.028292258333333264,2177.12,0.2078805952380952,-0.07989591071020441
中小100ETF,90 days,-0.1571389867244648,-0.07211667489711937,1765.3199999999997,0.20866351111111103,-0.0780757688284135
中小100ETF,180 days,-0.1571389867244648,-0.09060646031746022,1799.58,0.21124598148148144,-0.0570170511854744
中小100ETF,365 days,-0.1571389867244648,-0.0681841487279844,1991.5,0.18587383561643844,-0.08151404788314287
中小100ETF,3000 days,-0.1571389867244648,0.023013769999999933,3199.59,0.23846127333333322,-0.09752265214931644
医药ETF,1 days,0.05377808032675291,-0.386684164222874,2943.6999999999994,0.17384325153374236,-0.11583105026807439
医药ETF,3 days,0.05377808032675291,-0.08157240368509211,3199.3000000000006,0.16913628048780482,-0.11894999917170046
医药ETF,7 days,0.05377808032675291,-0.09116268537913708,2546.93,0.1748007142857142,-0.11527247409545094
医药ETF,15 days,0.05377808032675291,-0.08456290833333335,2213.58,0.17091494949494956,-0.11874409229536265
医药ETF,30 days,0.05377808032675291,-0.08241109583333328,2074.9300000000003,0.16819686274509804,-0.11929537095714471
医药ETF,90 days,0.05377808032675291,-0.03998950205761331,2228.59,0.1588059629629629,-0.12751368629380333
医药ETF,180 days,0.05377808032675291,-0.04024081746031738,2298.2599999999993,0.14258282539682532,-0.14053322215283015
医药ETF,365 days,0.05377808032675291,-0.06696175342465749,2278.38,0.15508071624266162,-0.1507594642193706
医药ETF,3000 days,0.05377808032675291,0.19996481999999993,3686.04,0.08928759999999991,-0.3320015579713804
证券ETF,1 days,-0.215669014084507,-0.3415284289903645,3803.3600000000015,0.21041066420664212,-0.04376380625004028
