Date,AAPL,MSFT,NFLX,AMZN,GOOG
2010-05-27,7.747751235961914,20.224863052368164,15.55142879486084,126.69999694824219,244.3142547607422
2010-05-28,7.855704307556152,20.06928062438965,15.878570556640625,125.45999908447266,241.90826416015625
2010-06-01,7.976499557495117,20.139286041259766,15.327142715454102,123.23999786376953,240.2843475341797
2010-06-02,8.071914672851562,20.58267593383789,15.825714111328125,126.30999755859375,245.76382446289062
2010-06-03,8.046530723571777,20.893836975097656,15.978570938110352,128.75999450683594,251.85598754882812
2010-06-04,7.827571392059326,20.061498641967773,15.682856559753418,122.7699966430664,248.4288330078125
2010-06-07,7.674050807952881,19.672565460205078,15.59428596496582,122.01000213623047,241.8534698486328
2010-06-08,7.62481689453125,19.53254508972168,15.761428833007812,118.83999633789062,241.48484802246094
2010-06-09,7.437352180480957,19.283618927001953,16.489999771118164,117.91000366210938,236.12493896484375
2010-06-10,7.660900592803955,19.446975708007812,16.95142936706543,123.20999908447266,242.59568786621094
2010-06-11,7.752647876739502,19.960372924804688,17.24142837524414,123.02999877929688,243.33790588378906
2010-06-14,7.7761921882629395,19.835914611816406,18.115713119506836,123.83000183105469,240.6928253173828
2010-06-15,7.941636085510254,20.676025390625,17.64285659790039,126.83999633789062,248.065185546875
2010-06-16,8.172829627990723,20.473783493041992,17.809999465942383,126.9000015258789,249.69906616210938
2010-06-17,8.31411361694336,20.51267433166504,17.979999542236328,125.88999938964844,249.10629272460938
2010-06-18,8.381394386291504,20.56712532043457,18.059999465942383,125.83000183105469,249.0813751220703
2010-06-21,8.262129783630371,20.18596649169922,16.998571395874023,122.55000305175781,243.3677978515625
2010-06-22,8.374669075012207,20.045942306518555,16.632856369018555,122.30999755859375,242.2171173095703
2010-06-23,8.28659439086914,19.688125610351562,16.82428550720215,121.44999694824219,240.1249542236328
2010-06-24,8.226347923278809,19.446975708007812,16.46428680419922,118.33000183105469,236.66293334960938
2010-06-25,8.156009674072266,19.081371307373047,16.854286193847656,121.0,235.4574432373047
2010-06-28,8.204939842224121,18.910240173339844,16.801429748535156,117.80000305175781,235.1585693359375
2010-06-29,7.83398962020874,18.13236427307129,16.082857131958008,108.61000061035156,226.28184509277344
2010-06-30,7.6920952796936035,17.898996353149414,15.521429061889648,109.26000213623047,221.64422607421875
2010-07-01,7.598822116851807,18.015682220458984,15.665714263916016,110.95999908447266,218.92442321777344
2010-07-02,7.55172872543335,18.10124397277832,15.29714298248291,109.13999938964844,217.45989990234375
2010-07-06,7.603409767150879,18.529085159301758,15.324286460876465,110.05999755859375,217.22080993652344
2010-07-07,7.910443305969238,18.902462005615234,16.927143096923828,113.43000030517578,224.25941467285156
2010-07-08,7.892705917358398,18.9880313873291,16.711429595947266,116.22000122070312,227.42755126953125
2010-07-09,7.939494609832764,18.87912368774414,16.790000915527344,117.26000213623047,232.87213134765625
2010-07-12,7.868243217468262,19.314739227294922,17.054285049438477,119.51000213623047,237.0265655517578
2010-07-13,7.700353622436523,19.5481014251709,17.2742862701416,123.6500015258789,243.6865997314453
2010-07-14,7.728789806365967,19.78924560546875,17.571428298950195,123.30000305175781,244.7526092529297
2010-07-15,7.689650058746338,19.84370231628418,17.301429748535156,122.05999755859375,246.0876007080078
2010-07-16,7.642247676849365,19.361408233642578,16.912857055664062,118.48999786376953,228.9468536376953
2010-07-19,7.510138034820557,19.62588882446289,16.985713958740234,119.94000244140625,232.21958923339844
2010-07-20,7.703103065490723,19.820363998413086,17.198570251464844,120.0999984741211,239.89581298828125
2010-07-21,7.77496862411499,19.540327072143555,17.092857360839844,117.43000030517578,237.8584442138672
2010-07-22,7.921148300170898,20.10039710998535,14.794285774230957,120.06999969482422,241.4998016357422
2010-07-23,7.949280261993408,20.07706069946289,15.385713577270508,118.87000274658203,244.114990234375
2010-07-26,7.929097652435303,20.30264663696289,14.684286117553711,118.4000015258789,243.57203674316406
2010-07-27,8.075889587402344,20.34931182861328,14.869999885559082,117.12999725341797,245.39520263671875
2010-07-28,7.98047399520874,20.18596649169922,14.329999923706055,117.12999725341797,241.27066040039062
2010-07-29,7.893318176269531,20.24819564819336,14.002857208251953,116.86000061035156,241.58946228027344
2010-07-30,7.86701774597168,20.07706069946289,14.649999618530273,117.88999938964844,241.5197296142578
2010-08-02,8.007694244384766,20.481555938720703,14.554286003112793,120.06999969482422,244.28933715820312
2010-08-03,8.010140419006348,20.34931182861328,14.915714263916016,122.41999816894531,244.00042724609375
2010-08-04,8.042250633239746,20.01482582092285,15.447142601013184,127.58000183105469,252.2146453857422
2010-08-05,8.003108024597168,19.73479652404785,15.789999961853027,127.83000183105469,253.101318359375
2010-08-06,7.953869819641113,19.874807357788086,16.902856826782227,128.32000732421875,249.176025390625
2010-08-09,8.004636764526367,19.92148780822754,16.700000762939453,128.8300018310547,251.7314453125
2010-08-10,7.933074474334717,19.501432418823242,17.858570098876953,130.0,250.9145050048828
2010-08-11,7.651116847991943,19.338077545166016,18.067142486572266,125.88999938964844,244.9518585205078
2010-08-12,7.700045108795166,19.05025863647461,19.007143020629883,126.55999755859375,245.0863494873047
2010-08-13,7.617781639099121,18.980249404907227,18.894285202026367,124.69000244140625,242.2669219970703
2010-08-16,7.57313346862793,19.058029174804688,19.60285758972168,126.06999969482422,241.88833618164062
2010-08-17,7.705550670623779,19.323923110961914,18.99571418762207,128.86000061035156,244.34413146972656
2010-08-18,7.7391886711120605,19.409954071044922,17.957143783569336,129.64999389648438,240.1747589111328
2010-08-19,7.641633033752441,19.112781524658203,18.31999969482422,127.56999969482422,233.11123657226562
2010-08-20,7.634296417236328,18.948556900024414,18.56571388244629,127.76000213623047,230.14735412597656
2010-08-23,7.5168657302856445,18.98765754699707,18.128570556640625,126.5999984741211,231.16851806640625
2010-08-24,7.337352275848389,18.799972534179688,17.325714111328125,124.52999877929688,224.85220336914062
2010-08-25,7.427874565124512,18.846891403198242,17.75,126.8499984741211,226.46116638183594
