,名称,代码
374,Pagaya Technologies Ltd Wt,105.PGYWW
375,Forza X1 Inc,105.FRZA
376,日日煮,107.DDC
377,Onfolio Holdings Inc,105.ONFO
378,SharpLink Gaming Ltd,105.SBET
379,海洋石油信托,105.MARPS
380,Biodexa Pharmaceuticals PLC ADR,105.BDRX
381,Puma Biotechnology Inc,105.PBYI
382,Fidelity Crypto Industry and Di,105.FDIG
383,Vocodia Holdings Corp Wt-A,107.VHAI_WS_A
384,Talkspace Inc Wt,105.TALKW
385,Linkage Global Inc,105.LGCB
386,Petros Pharmaceuticals Inc,105.PTPI
387,九紫新能,105.JZXN
388,Sanara MedTech Inc,105.SMTI
389,New Found Gold Corp,107.NFGC
390,Sweetgreen Inc-A,106.SG
391,Cipher Mining Inc Wt,105.CIFRW
392,CXApp Inc-A,105.CXAI
393,Armada Acquisition Corp I Wt,105.AACIW
394,Rezolute Inc,105.RZLT
395,Kineta Inc,105.KA
396,Genfit SA ADR,105.GNFT
397,AlphaTime Acquisition Corp,105.ATMC
398,Invesco Alerian Galaxy Crypto E,107.SATO
399,PropertyGuru Group Ltd,106.PGRU
400,Atlantic Coastal Acquisition Co,105.ACABU
401,Smart Powerr Corp,105.CREG
402,Prime Medicine Inc,105.PRME
403,金铉集团,105.JXJT
404,康年控股,105.CNFR
405,Microbot Medical Inc,105.MBOT
406,GrafTech International Ltd,106.EAF
407,FlexShopper Inc,105.FPAY
408,Ark Restaurants Corp,105.ARKR
409,Sprout Social Inc-A,105.SPT
410,三倍做多半导体ETF-Direxion,107.SOXL
411,SHL Telemedicine Ltd ADR,105.SHLT
412,Heron Therapeutics Inc,105.HRTX
413,Brand Engagement Network Inc,105.BNAI
414,Ocuphire Pharma Inc,105.OCUP
415,Tenax Therapeutics Inc,105.TENX
416,Idaho Strategic Resources Inc,107.IDR
417,Beam Global,105.BEEM
418,Verb Technology Co Inc,105.VERB
419,Sight Sciences Inc,105.SGHT
420,黄金矿业,107.AUMN
421,DSS Inc,107.DSS
422,EnviroStar Inc,107.EVI
423,Forge Global Holdings Inc,106.FRGE
424,SeaStar Medical Holding Corp,105.ICU
425,Grayscale Future of Finance ETF,107.GFOF
426,New Pacific Metals Corp,107.NEWP
427,Security National Financial Cor,105.SNFCA
428,Moderna Inc,105.MRNA
429,Kosmos Energy Ltd,106.KOS
430,Core Scientific Inc,105.CORZ
431,Osisko Development Corp,106.ODV
432,迪卡斯,105.DCTH
433,Pyxis Tankers Inc,105.PXS
434,Paysafe Ltd Wt,106.PSFE_WS
435,ProShares Bitcoin & Ether Marke,107.BETH
436,Crescent Energy Co-A,106.CRGY
437,AvePoint Inc-A,105.AVPT
438,TFF Pharmaceuticals Inc,105.TFFP
439,GeneDx Holdings Corp Wt,105.WGSWW
440,Loop Industries Inc,105.LOOP
441,回声星通信,105.SATS
442,Global X Blockchain & Bitcoin S,105.BITS
443,BigBear.ai Holdings Inc,106.BBAI
444,Vox Royalty Corp,105.VOXR
445,Terns Pharmaceuticals Inc,105.TERN
446,Meta Data Ltd ADR,106.AIU
447,ARK 21Shares Blockchain and Dig,107.ARKD
448,LifeVantage Corp,105.LFVN
449,Arteris Inc,105.AIP
450,M-tron Industries Inc,107.MPTI
451,Conifer Holdings Inc Notes,105.CNFRZ
452,Corner Growth Acquisition Corp ,105.COOLU
453,世纪铝业,105.CENX
454,泰瑞达,105.TER
455,应用光电,105.AAOI
456,Vericel Corp,105.VCEL
457,Intrepid Potash Inc,106.IPI
458,Momentus Inc Wt,105.MNTSW
459,Freight Technologies Inc,105.FRGT
460,Fresh Vine Wine Inc,107.VINE
461,LeddarTech Holdings Inc Wt,105.LDTCW
462,Global Gas Corp-A,105.HGAS
463,Iris Energy Ltd,105.IREN
464,Bitdeer Technologies Group-A,105.BTDR
465,Sensus Healthcare Inc,105.SRTS
466,Vast Renewables Ltd,105.VSTE
467,Maquia Capital Acquisition Corp,105.MAQCW
468,MSP Recovery Inc Wt,105.LIFWW
469,Laser Photonics Corp,105.LASE
470,Collective Audience Inc,105.CAUD
471,Lead Real Estate Co Ltd ADR,105.LRE
472,Karooooo Ltd,105.KARO
473,中比能源,105.CBAT
474,SMX (Security Matters) PLC-A,105.SMX
475,Ouster Inc Wt,106.OUST_WS
476,Reliance Global Group Inc,105.RELI
477,Desktop Metal Inc-A,106.DM
478,iPath Series B Carbon ETN,107.GRN
479,Madrigal Pharmaceuticals Inc,105.MDGL
480,Lipocine Inc,105.LPCN
481,盟军集团,105.TROO
482,AZZ Inc,106.AZZ
483,GH Research PLC,105.GHRS
484,Sunshine Biopharma Inc,105.SBFM
485,Cogent Biosciences Inc,105.COGT
486,Global-E Online Ltd,105.GLBE
487,HOOKIPA Pharma Inc,105.HOOK
488,American Coastal Insurance Corp,105.ACIC
489,福沃德工业,105.FORD
490,Blue World Acquisition Corp Rt,105.BWAQR
491,Core Scientific Inc Wt,105.CORZW
492,McEwen Mining Inc,106.MUX
493,Annovis Bio Inc,106.ANVS
494,KraneShares European Carbon All,107.KEUA
495,authID Inc,105.AUID
496,Sacks Parente Golf Inc,105.SPGC
497,Protalix BioTherapeutics Inc,107.PLX
498,Office Properties Income Trust,105.OPI
499,Zomedica Corp,107.ZOM
500,PMV Pharmaceuticals Inc,105.PMVP
501,Biohaven Ltd,106.BHVN
502,苏轩堂,105.SXTC
503,捷普,106.JBL
504,Acumen Pharmaceuticals Inc,105.ABOS
505,T-Rex 2X Long NVIDIA Daily Targ,107.NVDX
506,Simplify Bitcoin Strategy PLUS ,105.MAXI
507,Nukkleus Inc,105.NUKK
508,Collegium Pharmaceutical Inc,105.COLL
509,AlphaTime Acquisition Corp Unit,105.ATMCU
510,Innate Pharma SA ADR,105.IPHA
511,Power REIT,107.PW
512,Spectral AI Inc,105.MDAI
513,SilverSun Technologies Inc,105.SSNT
514,YieldMax COIN Option Income Str,107.CONY
515,Mirum Pharmaceuticals Inc,105.MIRM
516,Chesapeake Energy Corp Wt,105.CHKEL
517,康斯托克能源,106.CRK
518,Schwab Crypto Thematic ETF,107.STCE
519,Esperion Therapeutics Inc,105.ESPR
520,NeoVolta Inc Wt,105.NEOVW
521,华米科技,106.ZEPP
522,Liquidia Corp,105.LQDA
523,PowerUp Acquisition Corp Wt,105.PWUPW
524,百世集团,106.BEST
525,Direxion Daily NVDA Bull 2X Sha,105.NVDU
526,佳益净科,105.JCSE
527,Gryphon Digital Mining Inc,105.GRYP
528,EMX Royalty Corp,107.EMX
529,斯蒂加斯海运,105.GASS
530,Edgio Inc,105.EGIO
531,GraniteShares 2x Long NVDA Dail,105.NVDL
532,Mangoceuticals Inc,105.MGRX
533,Red Cat Holdings Inc,105.RCAT
534,i-80 Gold Corp,107.IAUX
535,SK Growth Opportunities Corp Un,105.SKGRU
536,BigBear.ai Holdings Inc Wt,106.BBAI_WS
537,InFinT Acquisition Corp Unit Co,106.IFIN_U
538,Bitfarms Ltd,105.BITF
539,Organovo Holdings Inc,105.ONVO
540,Wrap Technologies Inc,105.WRAP
541,GD Culture Group Ltd,105.GDC
542,Milestone Scientific Inc,107.MLSS
543,Nuvation Bio Inc-A,106.NUVB
544,悦航阳光,105.ANTE
545,Primech Holdings Ltd,105.PMEC
546,Bloom Energy Corp-A,106.BE
547,Siebert Financial Corp,105.SIEB
548,小麦ETF-Teucrium,107.WEAT
549,SES AI Corp-A,106.SES
550,Aytu BioPharma Inc,105.AYTU
551,Chesapeake Energy Corp Wt,105.CHKEZ
552,Galiano Gold Inc,107.GAU
553,Immutep Ltd ADR,105.IMMP
554,MeridianLink Inc,106.MLNK
555,Evogene Ltd,105.EVGN
556,Cadrenal Therapeutics Inc,105.CVKD
557,SEACOR Marine Holdings Inc,106.SMHI
558,YY Group Holding Ltd-A,105.YYGH
559,Celularity Inc-A,105.CELU
560,Blue Bird Corp,105.BLBD
561,Haymaker Acquisition Corp 4 Uni,106.HYAC_U
562,ProShares Ultra Semiconductors,107.USD
563,中国绿色农业,106.CGA
564,Revance Therapeutics Inc,105.RVNC
565,The Beachbody Co Inc-A,106.BODI
566,维京游轮,106.VIK
567,聚好商城,105.JWEL
568,Birks Group Inc-A,107.BGI
569,Franklin Bitcoin ETF,107.EZBC
570,Apellis Pharmaceuticals Inc,105.APLS
571,中网载线,105.CNET
572,Twin Vee PowerCats Co,105.VEEE
573,黄金资源,107.GORO
574,ProShares Bitcoin Strategy ETF,107.BITO
575,Prenetics Global Ltd-A,105.PRE
576,Valkyrie Bitcoin Fund,105.BRRR
577,PowerSchool Holdings Inc-A,106.PWSC
578,Nextdoor Holdings Inc-A,106.KIND
579,ARK 21Shares Bitcoin ETF,107.ARKB
580,Atlas Energy Solutions Inc,106.AESI
581,VanEck Bitcoin Trust,107.HODL
582,Emergent BioSolutions Inc,106.EBS
583,Xenetic Biosciences Inc,105.XBIO
584,Bitwise Bitcoin ETF,107.BITB
585,Fidelity Wise Origin Bitcoin Fu,107.FBTC
586,富册金科,105.FTFT
587,Cepton Inc,105.CPTN
588,Bitwise Bitcoin Strategy Optimu,107.BITC
589,纳伯斯工业,106.NBR
590,Grayscale Bitcoin Trust,107.GBTC
591,Astronics Corp,105.ATRO
592,Invesco Galaxy Bitcoin ETF,107.BTCO
593,flyExclusive Inc-A,107.FLYX
594,Generac Holdings Inc,106.GNRC
595,Powell Industries Inc,105.POWL
596,Syntec Optics Holdings Inc-A,105.OPTX
597,Vacasa Inc-A,105.VCSA
598,瓦利化工,106.VHI
599,iShares Bitcoin Trust,105.IBIT
600,AquaBounty Technologies Inc,105.AQB
601,Hashdex Bitcoin ETF,107.DEFI
602,Medical Properties Trust Inc,106.MPW
603,ARB IOT Group Ltd,105.ARBB
604,Sonim Technologies Inc,105.SONM
605,Vista Gold Corp,107.VGZ
606,Expro Group Holdings NV,106.XPRO
607,MicroSectors U.S. Big Banks Ind,107.BNKD
608,WisdomTree Bitcoin Fund,107.BTCW
609,Cyclacel Pharmaceuticals Inc Pf,105.CYCCP
610,Exela Technologies Inc,105.XELA
611,Vroom Inc,105.VRM
612,Cabaletta Bio Inc,105.CABA
613,Personalis Inc,105.PSNL
614,Leonardo DRS Inc,105.DRS
615,盛大科技,105.SDA
616,极氪,106.ZK
617,Intelligent Living Application ,105.ILAG
618,iRadimed Corp,105.IRMD
619,Digihost Technology Inc,105.DGHI
620,ThermoGenesis Holdings Inc,105.THMO
621,恩德拉生命科学,105.NDRA
622,Apogee Therapeutics Inc,105.APGE
623,游戏驿站,106.GME
624,Alkami Technology Inc,105.ALKT
625,Envoy Medical Inc-A,105.COCH
626,Edesa Biotech Inc,105.EDSA
627,ProPhase Labs Inc,105.PRPH
628,Candel Therapeutics Inc,105.CADL
629,Wheeler Real Estate Investment ,105.WHLRP
630,童程童美,105.TCTM
631,Enliven Therapeutics Inc,105.ELVN
632,ARK 21Shares Active Bitcoin Fut,107.ARKA
633,Tharimmune Inc,105.THAR
634,TOP Ships Inc,107.TOPS
635,Swvl Holdings Corp-A,105.SWVL
636,Mill City Ventures III Ltd,105.MCVT
637,Data I/O Corp,105.DAIO
638,Chain Bridge I-A,105.CBRG
639,Pacific Gas and Electric Co Pfd,107.PCG_C
640,NeuroSense Therapeutics Ltd,105.NRSN
641,CAVA Group Inc,106.CAVA
642,enGene Holdings Inc Wt,105.ENGNW
643,AEye Inc-A,105.LIDR
644,WidePoint Corp,107.WYY
645,Warrantee Inc ADR,105.WRNT
646,金石保险,105.KINS
647,The RealReal Inc,105.REAL
648,皇家加勒比邮轮,106.RCL
649,Morphic Holding Inc,105.MORF
650,Gold Royalty Corp,107.GROY
651,Gitlab Inc-A,105.GTLB
652,Lantheus Holdings Inc,105.LNTH
