日期,房地产ETF,中概互联网ETF,沪深300ETF,上证50ETF,中证500ETF,创业板ETF,中小100ETF,医药ETF,证券ETF,环保ETF,恒生ETF,H股ETF,标普500ETF,纳指ETF,军工ETF,银行ETF,传媒ETF,国债ETF,十年国债ETF
2023-11-06,0.6073684210526316,1.0440122824974412,1.221875,1.2332942555685815,0.9791332263242376,0.9505758157389635,0.9840301974448316,1.3777089783281733,0.9425287356321839,1.0138888888888888,0.9429037520391517,0.8177387914230019,2.132762312633833,3.277286135693215,0.9693978282329715,1.088088088088088,0.7702297702297703,1.171000781106011,1.2390764622513495
2023-11-07,0.6073684210526316,1.0337768679631525,1.21875,1.2289957014458772,0.9807383627608347,0.9438579654510557,0.9817073170731707,1.368421052631579,0.9454022988505747,1.0099206349206349,0.9290375203915171,0.8070175438596491,2.129907209136331,3.2743362831858405,0.9654491609081935,1.0870870870870872,0.7732267732267734,1.171307957627193,1.2397197623810146
2023-11-08,0.6136842105263158,1.0307062436028658,1.215625,1.2258694802657286,0.980203317281969,0.9457773512476008,0.9831591173054588,1.3777089783281733,0.9377394636015325,1.0119047619047619,0.9225122349102773,0.8031189083820662,2.137044967880086,3.3038348082595865,0.9644619940769991,1.0810810810810811,0.7972027972027973,1.1714220517636322,1.2398001748972227
2023-11-09,0.6126315789473684,1.028659160696008,1.2164772727272728,1.2258694802657286,0.9780631353665062,0.9438579654510557,0.9796747967479675,1.3653250773993808,0.9339080459770115,1.0218253968253967,0.9233278955954323,0.8031189083820662,2.1484653818700927,3.3244837758112094,0.9615004935834157,1.0870870870870872,0.7832167832167833,1.1714834870678683,1.2398705358489048
2023-11-10,0.6031578947368421,1.015353121801433,1.2088068181818181,1.2164908167252833,0.9743178170144462,0.9380998080614203,0.9753193960511034,1.3622291021671826,0.9339080459770115,1.0119047619047619,0.9119086460032627,0.7884990253411306,2.1313347608850823,3.2920353982300883,0.9634748272458046,1.078078078078078,0.7682317682317683,1.1715273694280375,1.2400414124458472
2023-11-13,0.6031578947368421,1.021494370522006,1.2073863636363635,1.2141461508401719,0.9796682718031032,0.9395393474088292,0.9767711962833914,1.346749226006192,0.9291187739463601,1.0128968253968254,0.9135399673735727,0.7904483430799221,2.1598857958600997,3.3628318584070795,0.9930898321816388,1.073073073073073,0.7782217782217783,1.1729140520093733,1.2405942484947783
2023-11-14,0.6126315789473684,1.021494370522006,1.2073863636363635,1.2133645955451346,0.9839486356340289,0.9371401151631478,0.977061556329849,1.346749226006192,0.9415708812260536,1.0099206349206349,0.9216965742251223,0.7962962962962963,2.1670235546038543,3.374631268436578,1.0,1.075075075075075,0.7812187812187813,1.1728175108170018,1.239880587413431
2023-11-15,0.608421052631579,1.0429887410440122,1.2144886363636365,1.2215709261430245,0.9903691813804173,0.9419385796545106,0.9857723577235773,1.3622291021671826,0.9425287356321839,1.0238095238095237,0.9420880913539967,0.8128654970760233,2.197002141327623,3.433628318584071,0.9970384995064167,1.0810810810810811,0.7742257742257743,1.1727911814009004,1.2395187310904943
2023-11-16,0.6063157894736841,1.0399181166837257,1.2042613636363635,1.2118014849550605,0.980203317281969,0.923704414587332,0.974157955865273,1.3374613003095974,0.9339080459770115,1.001984126984127,0.935562805872757,0.8079922027290448,2.199857244825125,3.4188790560471976,0.987166831194472,1.078078078078078,0.7782217782217783,1.1734581932754673,1.240503784414044
2023-11-17,0.6031578947368421,1.0163766632548619,1.2028409090909091,1.2102383743649863,0.9839486356340289,0.9280230326295584,0.9729965156794426,1.346749226006192,0.9377394636015325,1.0009920634920635,0.9184339314845024,0.7914230019493178,2.198429693076374,3.4247787610619467,0.987166831194472,1.073073073073073,0.7842157842157843,1.1735635109398725,1.241006362640345
